gm_index,Event,Stat,signal_pe_ratio_max,signal_ratio_max,snr_min,snr_max,snr_average,tail_ratio,mtail_ratio,tailnoise_ratio,mtailnoise_ratio,head_ratio,Snr_0.1_0.5,Snr_0.5_1.0,Snr_1.0_2.0,Snr_2.0_5.0,Snr_5.0_10.0,ft_a1_a2,PN/PGA,bracketedPGA_10_20,Ds575,Ds595,v18p7p4
1287.0,2014p933966,OXZ,0.002188745,0.009933534,5.1844,777.91991,357.23777,0.002299159,0.00798428,9786.625033,773.1117316,0.003988512,27.27052,128.69493,418.44204,361.2029,390.37928,0.217721519,0.003988512,1.455955646,8.731580418,12.31984347,1.0
1288.0,2014p933966,SLRC,0.005603339,0.035889744,2.35779,761.57118,413.00549,0.000610629,0.002460744,15.91899661,14.85783373,0.002287946,6.04329,34.69539,241.05417,598.89268,404.46182,0.200461859,0.002626365,3.026696127,1.59828029,4.754340016,0.0
1289.0,2014p965622,CCCC,0.093341168,0.16619651,0.98514,14.68019,7.31486,0.064049747,0.162873344,126.1655019,66.29334932,0.097263752,1.2963,1.99462,7.57377,11.33357,5.78741,0.73676626,0.125087987,3.825108525,22.16255351,27.34673594,0.0
1290.0,2014p965622,CMHS,0.000759305,0.002277176,1.24661,1695.52787,757.0326,0.005598958,0.015254401,979.1395132,601.6148983,0.000508381,14.16486,113.57529,1000.38803,782.05841,808.06169,0.137102014,0.000613748,2.251246171,1.271819534,4.304346544,1.0
1291.0,2014p965622,CSHS,0.007285923,0.031533992,1.49961,359.96122,167.22167,0.004115106,0.028887622,3164.332697,2802.799533,0.028819732,13.18814,135.0367,255.69017,199.87808,144.08131,0.159754224,0.028819732,1.300027822,14.96748275,23.94941073,1.0
1292.0,2014p965622,CSTC,0.04281828,0.153491443,1.83118,55.00679,37.51206,0.016747148,0.075079273,390.2127837,412.5037104,0.05767942,3.38586,9.63219,21.68405,37.57872,45.83891,0.553620532,0.064936568,2.320869954,7.302821209,15.35607337,0.0
1293.0,2014p965622,GDLC,0.29361088,0.44219336,1.12506,8.75994,5.72927,0.042200269,0.170486571,1221.155123,965.5412118,0.185454917,1.70874,1.93325,3.87707,5.47537,6.93034,1.147560976,0.224675118,1.575093684,41.41969125,86.93197319,0.0
1295.0,2014p965622,HPSC,0.060465221,0.13438575,1.06986,26.70483,11.84438,0.04728103,0.132492452,93.13477036,28.72493633,0.077769343,1.30218,2.47598,5.81801,21.47474,8.80231,0.691618108,0.19595041,2.977679847,4.249835196,9.792767521,0.0
1296.0,2014p965622,HVSC,0.021416334,0.02780068,1.08776,59.91559,26.61359,0.008859231,0.029983263,19.82244411,14.33885257,0.021985372,1.40852,1.39436,5.8572,21.18294,38.26065,1.097535285,0.029992214,1.669797182,1.174521153,3.405407388,0.0
1297.0,2014p965622,KPOC,0.013197325,0.028182336,1.60782,509.10563,278.61871,0.000499031,0.001879953,64.65313884,40.33699995,0.001638351,4.36369,24.27548,143.96735,414.42343,270.9373,0.229275809,0.003281982,1.493616641,3.691202296,8.729939667,1.0
1298.0,2014p965622,LINC,0.114360925,0.262068503,1.76622,38.31833,24.27052,0.011867221,0.03938945,340.7517665,206.9802672,0.031740074,2.53496,7.71224,27.18641,21.78267,28.45614,0.379093886,0.052721444,2.024183111,5.182123001,16.11562172,0.0
1299.0,2014p965622,LPCC,0.091300938,0.286604079,1.50017,10.2527,5.86716,0.018244038,0.070857127,32.58033062,25.99009608,0.060793135,2.38465,2.16257,2.90588,3.4697,8.51379,1.067618124,0.088474663,6.836268258,6.678614977,31.49408049,0.0
1300.0,2014p965622,LPOC,0.232419917,0.443116408,1.22937,7.23536,5.01884,0.03007164,0.131204312,28.4957614,27.42074085,0.087555102,1.41218,2.01485,3.68739,4.56337,6.0969,1.360346184,0.138963618,10.19079455,12.48983559,40.45775113,0.0
1301.0,2014p965622,MTHS,0.011802165,0.048011711,1.76018,132.83474,89.1239,0.006137293,0.023369576,8405.525282,2205.051248,0.023117648,11.97477,43.79153,98.42959,92.27725,95.58966,0.394736842,0.023117648,1.340594976,14.0337002,23.57709217,1.0
1302.0,2014p965622,NBLC,0.089469489,0.205380088,1.15233,20.19305,9.02897,0.030138285,0.109266355,63.19531133,50.2293414,0.096233653,1.47343,2.58389,6.58202,14.51465,7.38137,0.656389906,0.121433856,2.974257902,9.765088107,18.92427896,0.0
1304.0,2014p965622,RHSC,0.012321673,0.034060464,1.60155,155.93739,85.91818,0.003129385,0.010090502,73.02414556,53.0414097,0.01303916,3.81914,15.31832,60.01261,116.80786,85.76019,0.270612153,0.014307421,1.418922583,3.824882266,8.549453008,0.0
1305.0,2014p965622,ROLC,0.035923391,0.064621368,1.63272,141.69654,74.35988,0.004842592,0.017214171,272.0600483,218.9124236,0.011529845,3.4371,17.04042,49.36674,58.41834,100.24873,0.258440047,0.020621572,4.355164376,1.675753524,13.24533851,0.0
1306.0,2014p965622,SHLC,0.077928851,0.124048578,1.84319,16.28422,9.41011,0.027006045,0.114209261,56.37423439,50.93337355,0.103378208,2.94274,3.06854,9.77849,12.56644,8.48605,0.671339718,0.129681663,5.568837516,8.336281959,27.26874524,0.0
1307.0,2014p965622,SLRC,0.057320657,0.304134868,3.18042,43.53064,29.64524,0.075305191,0.248271901,409.0050542,321.7852249,0.21504047,6.94613,7.05342,26.5798,31.6245,32.95945,0.847625797,0.326648955,1.017208613,25.2808855,43.3643496,0.0
1309.0,2014p965622,STKS,0.00183002,0.002629338,1.11948,1200.8972,517.87693,0.008547815,0.031056092,1511.780506,873.1053952,0.00154085,11.52715,64.80991,203.50308,352.04529,758.95883,0.184834123,0.002230187,2.019500492,2.013318112,3.947271121,1.0
1310.0,2014p965622,TPLC,0.055082818,0.081954662,1.31346,186.30794,111.29838,0.002627482,0.008480811,249.2524757,80.37060555,0.007232413,4.01727,22.63742,65.33131,119.51486,132.5955,0.282178218,0.02307792,1.476497085,5.299707421,11.5856428,0.0
1311.0,2014p965622,WCSS,0.101130433,0.198978662,1.43751,56.55026,35.06665,0.010081268,0.033335926,1143.604659,833.7760241,0.033255164,2.26549,5.93366,26.74868,46.56003,35.19371,0.594182825,0.040181775,1.506630368,14.15609378,22.34193597,0.0
1312.0,2014p965622,CACS,0.001855534,0.006432517,4.00761,514.39397,356.43365,0.025581785,0.084986934,2989.594065,1042.891183,0.003278827,15.88924,53.77246,293.84336,395.444,396.54247,0.376678445,0.010374847,1.569774424,3.270664997,7.816453625,1.0
1313.0,2014p965622,CBGS,0.003772959,0.006127714,1.83331,651.95365,383.12051,0.016605291,0.047691922,3059.321543,1325.896373,0.002771106,18.40433,114.10215,453.14597,481.08537,362.97719,0.196936543,0.004684948,1.471185617,4.605067758,12.70420374,1.0
1314.0,2014p965622,DSLC,0.011200028,0.024685776,5.51648,272.63156,159.87048,0.00518141,0.015280998,6550.318048,1405.87137,0.009158036,11.4715,45.52324,131.42098,135.76444,202.71282,0.331864905,0.010523478,2.47634304,4.496442938,11.07245206,1.0
1315.0,2014p965622,NNBS,0.001022542,0.002454528,2.03731,864.34323,374.21503,0.0114003,0.042641632,75.48980881,63.80272266,0.025052064,15.25579,79.0142,363.04669,721.73753,222.27546,0.135389792,0.02886612,1.83839403,3.512103992,8.241580368,1.0
1316.0,2014p965622,REHS,0.001278046,0.004101636,3.62418,1631.34248,360.64418,0.030396545,0.088140781,3091.023476,1895.777349,0.00231781,14.32199,110.00771,595.77724,726.14291,140.32594,0.135005336,0.003861928,1.388667595,6.379559011,12.36431632,1.0
1318.0,2016p119534,CCCC,0.010589233,0.084224234,2.32218,54.96648,22.93807,0.049754805,0.152852529,95.0240036,74.76081041,0.078172473,3.54929,8.5783,17.93675,45.23989,13.29431,0.484545887,0.087864862,1.478702849,5.757512355,10.98690332,0.0
1319.0,2016p119534,DFHS,0.246711281,0.391048531,1.40835,27.23662,13.61756,0.01859681,0.073898463,1112.889854,870.0813796,0.077176758,2.09772,4.05075,17.60955,16.59799,12.84838,0.763903463,0.097993111,3.380951128,11.26949841,39.60359838,0.0
1320.0,2016p119534,HPSC,0.047158229,0.078450539,1.14606,36.62247,17.9518,0.037223325,0.11063186,74.37457576,43.16189374,0.051969628,1.68381,5.89532,14.7495,29.50843,13.73291,0.334498447,0.075770098,1.570933847,3.447067517,8.812313631,0.0
1321.0,2016p119534,HVSC,0.046615096,0.213470636,1.07834,23.37343,15.17319,0.024388249,0.092692942,53.20092615,40.97240114,0.065621504,1.50788,1.45948,3.61874,14.63109,20.04732,1.098196828,0.090354852,1.755974588,3.654914418,7.494487807,0.0
1323.0,2016p119534,LINC,0.0715901,0.207715169,1.99435,41.07079,26.85675,0.01492574,0.045941927,336.0701052,98.7312748,0.028868764,3.28682,9.12523,24.43627,27.99308,30.21657,0.417803468,0.122849408,8.413061548,4.499999899,17.49256946,0.0
1324.0,2016p119534,LPCC,0.151187088,0.321357947,1.00156,10.25939,5.97672,0.027850272,0.11151681,53.39561447,48.05369976,0.114753312,1.65727,2.15248,3.16989,5.23719,7.66815,1.169224088,0.125081427,11.38172278,13.75240403,40.96367202,0.0
1329.0,2016p119534,ROLC,0.132566431,0.24723918,1.55189,52.70982,26.86712,0.012549832,0.034081215,318.7032229,229.8826729,0.030307952,2.38902,7.88983,19.69335,24.6599,33.4545,0.548214286,0.048101019,2.828427125,6.599573702,54.38847183,0.0
1330.0,2016p119534,SHLC,0.066035367,0.143343785,1.50944,32.46428,14.41831,0.017826077,0.069107682,36.29669965,29.91177609,0.068592877,2.21078,4.98354,9.73692,20.91951,13.25224,0.454734531,0.081986527,3.406330862,3.561951633,14.61174153,0.0
1331.0,2016p119534,SLRC,0.049578378,0.43397755,5.2472,53.68388,34.59928,0.107357276,0.31018906,465.512918,437.6658252,0.313486421,5.9498,11.54742,22.75288,42.27766,36.68122,0.575444636,0.325365167,1.000556707,28.47020133,45.77174627,0.0
1332.0,2016p119534,SPRS,0.005589434,0.012916622,1.6401,218.3165,115.50587,0.009756579,0.029378377,1533.622225,339.3324143,0.018252549,12.10366,48.30904,162.26984,148.81082,100.58041,0.189166667,0.087105907,1.51700649,11.10131049,19.08062849,1.0
1333.0,2016p119534,WCSS,0.046685033,0.122130653,1.59793,136.23759,53.27169,0.005940131,0.026090395,619.252979,624.9590636,0.01952004,2.08298,12.58616,81.40748,83.29873,37.65457,0.277535442,0.026536663,1.330100066,12.44995052,20.19209701,0.0
1335.0,2016p119534,CBGS,0.010137325,0.021733811,1.98232,662.66394,244.35785,0.000799108,0.003304974,80.06646592,55.86822044,0.002534035,9.79604,62.03907,338.93413,435.31542,147.19987,0.228446901,0.004836093,2.043186897,4.50329869,9.717754153,1.0
1337.0,2016p119534,CSHS,0.00896528,0.017674409,2.55913,207.21121,73.11608,0.005310394,0.023486624,2708.262132,232.4970554,0.02325324,9.07343,70.27899,135.2015,110.26262,43.20409,0.125172891,0.227861035,1.719212849,13.80140995,23.8548496,1.0
1338.0,2016p119534,CSTC,0.017588227,0.115704369,6.44909,64.87765,36.21567,0.026537536,0.098823141,606.4556968,520.9855715,0.096968657,11.67234,16.01686,27.72241,50.38073,32.99751,0.51458448,0.098793041,2.620840267,7.395785797,25.08401826,0.0
